ts,mode,action,price,krw,coin,value
2025-08-24T15:51:04,LIVE,BUY,159506000.0,56314.81417774,0.00027464,100121.54201774
2025-08-24T15:52:04,LIVE,BUY,159429000.0,42230.19468739,0.00036294,100093.35594739
2025-08-24T16:31:04,LIVE,BUY,159517000.0,31668.01499677,0.00042912,100119.95003677
2025-08-24T16:32:04,LIVE,BUY,159665000.0,23747.91580621,0.0004787,100179.55130621
2025-08-24T16:57:05,LIVE,BUY,159529000.0,17810.50698541,0.0005159,100111.51808541
