ts,mode,ticker,interval,price,krw,coin,portfolio_value,action,reason,v_pred,p_sell,p_hold,p_buy,ret1,ret3,ret6,vol_z,ma_diff,cash_ratio,coin_ratio
2025-08-24T15:41:00+09:00,LIVE,KRW-BTC,minute1,159516000.0,75098.17506469,0.00015694,100132.61610469101,1,"π(a|s)=[sell:0.001, hold:0.995, buy:0.004], V(s)=0.000175",0.00017509935423731804,0.0010012186,0.99531096,0.003687933,-6.268924315322444e-06,-1.2537770032183815e-05,-0.0005764122099143343,0.4217728011109122,-0.00015889158235018514,0.7499871469069888,0.25001285309301124
2025-08-24T15:42:00+09:00,LIVE,KRW-BTC,minute1,159516000.0,75098.17506469,0.00015694,100132.61610469101,1,"π(a|s)=[sell:0.001, hold:0.997, buy:0.002], V(s)=0.000263",0.0002634110860526562,0.000795654,0.9971409,0.0020634732,0.0,-6.268924315322444e-06,-0.0005576266407694153,0.30435659433876544,-0.00017800598200384593,0.7499871469069888,0.25001285309301124
2025-08-24T15:43:00+09:00,LIVE,KRW-BTC,minute1,159507000.0,75098.17506469,0.00015694,100131.203644691,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000717",0.000716883223503828,8.87908e-05,0.9998884,2.2709743e-05,0.0,-6.268924315278035e-05,-7.522614860921983e-05,-1.0350289840487379,-0.00021373025737259703,0.7499977262949015,0.25000227370509853
2025-08-24T15:44:00+09:00,LIVE,KRW-BTC,minute1,159507000.0,75098.17506469,0.00015694,100131.203644691,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000574",0.0005741897039115429,0.0002729987,0.9995345,0.00019255397,0.0,-5.6420672534418514e-05,-6.895773517723303e-05,-0.22080380789468615,-0.0002441244815488586,0.7499977262949015,0.25000227370509853
2025-08-24T15:45:00+09:00,LIVE,KRW-BTC,minute1,159506000.0,75098.17506469,0.00015694,100131.046704691,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000736",0.000735762994736433,8.127356e-05,0.9998994,1.9282046e-05,-6.2693173340511166e-06,-6.2693173340511166e-06,-6.895816746799177e-05,-1.164412151016978,-0.000283603310105021,0.7499989018008713,0.25000109819912875
2025-08-24T15:46:00+09:00,LIVE,KRW-BTC,minute1,159507000.0,75098.17506469,0.00015694,100131.203644691,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000719",0.0007186564616858959,9.541798e-05,0.9998785,2.5942576e-05,6.269356638721746e-06,0.0,-6.268924315278035e-05,-0.9468708756493052,-0.0003246456160933977,0.7499977262949015,0.25000227370509853
2025-08-24T15:47:00+09:00,LIVE,KRW-BTC,minute1,159507000.0,75098.17506469,0.00015694,100131.203644691,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000677",0.0006765457801520824,0.00015278546,0.99978477,6.239344e-05,0.0,0.0,-5.6420672534418514e-05,-0.5497146048877161,-0.0003205731835988116,0.7499977262949015,0.25000227370509853
2025-08-24T15:48:00+09:00,LIVE,KRW-BTC,minute1,159506000.0,75098.17506469,0.00015694,100131.046704691,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000675",0.0006751897744834423,0.00015672787,0.99977785,6.54713e-05,-6.2693173340511166e-06,0.0,-6.2693173340511166e-06,-0.53306123411109,-0.00029833122537670584,0.7499989018008713,0.25000109819912875
2025-08-24T15:49:00+09:00,LIVE,KRW-BTC,minute1,159506000.0,75098.17506469,0.00015694,100131.046704691,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000713",0.0007132920436561108,0.0001014316,0.99986947,2.904914e-05,0.0,-6.2693173340511166e-06,-6.2693173340511166e-06,-0.8805985752444427,-0.0002638696070473868,0.7499989018008713,0.25000109819912875
2025-08-24T15:50:00+09:00,LIVE,KRW-BTC,minute1,159506000.0,75098.17506469,0.00015694,100131.046704691,1,"π(a|s)=[sell:0.002, hold:0.979, buy:0.019], V(s)=-0.000087",-8.732499554753304e-05,0.0018571711,0.9789569,0.019185975,0.0,-6.2693173340511166e-06,-6.2693173340511166e-06,0.7471762980183025,-0.0002460110946302829,0.7499989018008713,0.25000109819912875
2025-08-24T15:51:00+09:00,LIVE,KRW-BTC,minute1,159507000.0,75098.17506469,0.00015694,100131.203644691,2,"π(a|s)=[sell:0.005, hold:0.126, buy:0.869], V(s)=-0.000775",-0.0007745740003883839,0.005020501,0.12576155,0.869218,6.269356638721746e-06,6.269356638721746e-06,6.269356638721746e-06,1.831679529747536,-0.00020465208988018922,0.7499977262949015,0.25000227370509853
2025-08-24T15:52:00+09:00,LIVE,KRW-BTC,minute1,159429000.0,56314.81417774,0.00027464,100100.394737741,2,"π(a|s)=[sell:0.004, hold:0.000, buy:0.996], V(s)=-0.000094",-9.434344246983528e-05,0.004127557,0.00010798287,0.9957645,-0.0004890067520547658,-0.0004827404611739139,-0.0004890067520547658,3.983735553141519,-0.00023694810836426822,0.5625833377109306,0.4374166622890694
2025-08-24T15:53:00+09:00,LIVE,KRW-BTC,minute1,159420000.0,42230.19468739,0.00036294,100090.08948739101,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=-0.000081",-8.138688281178474e-05,0.00010997226,0.9998356,5.4355445e-05,-5.645146115196287e-05,-0.0005391646709215214,-0.0005454306080611149,-0.2651158320725117,-0.0002761449908521095,0.42192183965136737,0.5780781603486327
2025-08-24T15:54:00+09:00,LIVE,KRW-BTC,minute1,159430000.0,42230.19468739,0.00036294,100093.718887391,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=-0.000057",-5.708308890461922e-05,9.527265e-05,0.9998667,3.8078197e-05,6.272738677703948e-05,-0.00048273743472071473,-0.00047647110453530317,-0.402941427863568,-0.00030625567176413614,0.42190654075807166,0.5780934592419283
